board_size,blue_probability,samples,blue_crossing_rate,yellow_crossing_rate,both_crossing_count,neither_crossing_count,blue_crossing_wilson_low,blue_crossing_wilson_high
5,0.45,2000,0.364,0.636,0,0,0.34319206946789194,0.3853293865194476
5,0.5,2000,0.509,0.491,0,0,0.48709383524907524,0.5308716566341156
5,0.55,2000,0.621,0.379,0,0,0.5995250371733308,0.6420110203673451
7,0.45,2000,0.319,0.681,0,0,0.2989363854034665,0.3397576111679192
7,0.5,2000,0.4945,0.5055,0,0,0.472619415384223,0.5164016729093827
7,0.55,2000,0.6655,0.3345,0,0,0.6445218908617337,0.6858435432124964
9,0.45,2000,0.3035,0.6965,0,0,0.2837422384675725,0.324011188749429
9,0.5,2000,0.4975,0.5025,0,0,0.4756126151701534,0.5193969704178492
9,0.55,2000,0.6815,0.3185,0,0,0.6607499279019758,0.701554158409038
11,0.45,2000,0.2735,0.7265,0,0,0.2544120472655743,0.293456407007458
11,0.5,2000,0.4885,0.5115,0,0,0.46663537631097207,0.5104087173938398
11,0.55,2000,0.7115,0.2885,0,0,0.69125298678008,0.7309360724749031
13,0.45,2000,0.258,0.742,0,0,0.23930094249644365,0.27762694242220465
13,0.5,2000,0.512,0.488,0,0,0.4900908376752856,0.5338631515023021
13,0.55,2000,0.7455,0.2545,0,0,0.7259517231249547,0.7641069721331936
15,0.45,2000,0.2315,0.7685,0,0,0.2135394912110507,0.2504900009404248
15,0.5,2000,0.5195,0.4805,0,0,0.49758678905194537,0.5413384433616344
15,0.55,2000,0.765,0.235,0,0,0.7459202671611852,0.7830636605105431
