board_size,blue_probability,samples,coarse_grain_flip_rate,coarse_grain_flip_count,blue_to_yellow_flips,yellow_to_blue_flips,mean_local_ties_per_board,flip_wilson_low,flip_wilson_high
7,0.48,1000,0.171,171,97,74,0.717,0.1489334730570256,0.1955846262128194
7,0.5,1000,0.159,159,75,84,0.766,0.13764593437383232,0.18296401046208605
7,0.52,1000,0.18,180,97,83,0.76,0.1574265005851786,0.20502271451011134
9,0.48,1000,0.201,201,103,98,0.738,0.17732680168555334,0.22696168366910827
9,0.5,1000,0.206,206,103,103,0.741,0.18208097296652836,0.2321692434022693
9,0.52,1000,0.199,199,91,108,0.728,0.17542679438654374,0.2248769985624634
11,0.48,1000,0.227,227,115,112,0.771,0.2021101870147211,0.2539792996134482
11,0.5,1000,0.239,239,125,114,0.754,0.21359749233628916,0.2664001487258067
11,0.52,1000,0.208,208,90,118,0.732,0.18398427572166207,0.23425063305279
13,0.48,1000,0.24,240,126,114,0.781,0.21455607696618587,0.26743391029873725
13,0.5,1000,0.251,251,117,134,0.746,0.22511335376043584,0.2787924417355867
13,0.52,1000,0.232,232,86,146,0.726,0.20689299785357534,0.25915821978873005
15,0.48,1000,0.226,226,117,109,0.744,0.20115424829035228,0.25294289213498977
15,0.5,1000,0.256,256,120,136,0.753,0.22991972382787,0.28394780268228864
15,0.52,1000,0.236,236,107,129,0.711,0.210722931040928,0.2632976714126862
