board_size,blue_probability,samples,blue_crossing_rate,yellow_crossing_rate,both_crossing_count,neither_crossing_count,blue_crossing_wilson_low,blue_crossing_wilson_high
5,0.45,120,0.425,0.575,0,0,0.34022892313997877,0.5144241175184108
5,0.5,120,0.5666666666666667,0.43333333333333335,0,0,0.47729757992376215,0.6518997172687806
5,0.55,120,0.5583333333333333,0.44166666666666665,0,0,0.46904360820302915,0.6440040268404459
7,0.45,120,0.2833333333333333,0.7166666666666667,0,0,0.2104050919824472,0.369703692141789
7,0.5,120,0.49166666666666664,0.5083333333333333,0,0,0.4038741586989492,0.5799761791519831
7,0.55,120,0.6833333333333333,0.31666666666666665,0,0,0.595519646541652,0.7597729207378406
9,0.45,120,0.2833333333333333,0.7166666666666667,0,0,0.2104050919824472,0.369703692141789
9,0.5,120,0.4166666666666667,0.5833333333333334,0,0,0.3323820653533033,0.5061213131560184
9,0.55,120,0.6666666666666666,0.3333333333333333,0,0,0.5783093452093498,0.744683897772007
11,0.45,120,0.2916666666666667,0.7083333333333334,0,0,0.21781442705981954,0.3784440192134845
11,0.5,120,0.5416666666666666,0.4583333333333333,0,0,0.4526080815617851,0.6281402291835539
11,0.55,120,0.725,0.275,0,0,0.6390686764395932,0.7969722015852385
13,0.45,120,0.24166666666666667,0.7583333333333333,0,0,0.1738573324150334,0.32550314096386357
13,0.5,120,0.55,0.45,0,0,0.46081381811060756,0.6360841547837995
13,0.55,120,0.7916666666666666,0.20833333333333334,0,0,0.7105215895553653,0.8547165856620093
15,0.45,120,0.19166666666666668,0.8083333333333333,0,0,0.13124933052612614,0.2712131699583638
15,0.5,120,0.55,0.45,0,0,0.46081381811060756,0.6360841547837995
15,0.55,120,0.6666666666666666,0.3333333333333333,0,0,0.5783093452093498,0.744683897772007
