board_size,blue_probability,samples,coarse_grain_flip_rate,coarse_grain_flip_count,blue_to_yellow_flips,yellow_to_blue_flips,mean_local_ties_per_board,flip_wilson_low,flip_wilson_high
7,0.48,120,0.175,21,10,11,0.7333333333333333,0.11740448670592563,0.25275868948042857
7,0.5,120,0.15,18,7,11,0.7666666666666667,0.09703734033668818,0.2246768494024625
7,0.52,120,0.16666666666666666,20,7,13,0.7,0.11055912012704824,0.24345439391023813
9,0.48,120,0.23333333333333334,28,15,13,0.8583333333333333,0.16665469513089648,0.31655611609893264
9,0.5,120,0.21666666666666667,26,13,13,0.8916666666666667,0.15236622842757383,0.2985452585041196
9,0.52,120,0.175,21,9,12,0.7083333333333334,0.11740448670592563,0.25275868948042857
11,0.48,120,0.21666666666666667,26,17,9,0.8,0.15236622842757383,0.2985452585041196
11,0.5,120,0.19166666666666668,23,9,14,0.8333333333333334,0.13124933052612614,0.2712131699583638
11,0.52,120,0.3,36,15,21,0.7583333333333333,0.22525501338672319,0.38715309503564865
13,0.48,120,0.2833333333333333,34,15,19,0.7833333333333333,0.2104050919824472,0.369703692141789
13,0.5,120,0.2833333333333333,34,20,14,0.6166666666666667,0.2104050919824472,0.369703692141789
13,0.52,120,0.175,21,9,12,0.7916666666666666,0.11740448670592563,0.25275868948042857
15,0.48,120,0.23333333333333334,28,14,14,0.725,0.16665469513089648,0.31655611609893264
15,0.5,120,0.18333333333333332,22,13,9,0.8666666666666667,0.12430210244218537,0.26201073589323665
15,0.52,120,0.2,24,10,14,0.7416666666666667,0.13824380919983048,0.2803683534337273
